rural,gender,fathed,mothed,mth_scor,sci_scor,phy_scor,bio_scor
0,1,5,2,62.46,48.77,47.68,47.91
0,1,2,2,46.47,39.69,38.41,45.76
0,0,1,2,46.64,41.8,52.02,25.03
0,0,2,2,49.38,50.96,52.85,50.4
0,1,5,4,70.79,69.34,69.54,70.58
0,0,4,2,52.53,70.28,67.94,70.58
0,1,3,1,41.21,42.08,45.04,46.7
0,0,2,2,47.65,58.73,59.21,63.14
0,0,1,2,61.7,66.98,70.36,58.65
0,0,1,2,65.32,65.13,71.22,50.24
0,1,2,2,55.32,52.31,48.21,57.94
0,0,3,2,38.04,40.23,29.98,64.67
0,0,1,2,40.53,48.08,52.56,49.93
0,1,2,2,41.79,42.95,39.85,50.24
0,0,2,2,NA,NA,NA,NA
0,0,1,1,47.4,40.12,42.41,50.8
0,0,NA,1,43.67,43.68,46.48,47.91
0,1,2,2,60.08,44.59,45.82,39.89
0,1,1,2,61.7,43.37,40.35,45.33
0,1,2,1,63.79,52.75,54,44.4
0,1,2,4,49.48,56.31,60.06,50.18
0,1,1,1,44.41,41.12,42.21,38.23
0,1,2,1,51.09,53.09,59.56,51.17
0,0,1,1,NA,39.28,42.23,33
0,0,2,2,NA,52.41,49.54,59.03
0,1,2,1,37.4,49.71,41.31,42.32
0,1,1,1,51.44,38.66,42.54,41.17
0,1,1,2,37.36,38.03,37.84,46.3
0,1,2,1,61.85,43.26,43.94,39.7
0,1,2,2,56.07,50.35,48.09,47.29
0,1,2,2,31.32,42.25,38.92,48.48
0,0,NA,NA,43.22,51.14,43.41,56.25
0,1,2,3,46.36,36.12,32.65,35.93
0,0,NA,NA,52.18,61.83,61.72,65.73
0,0,1,2,48.57,35.22,36.76,39.7
0,0,4,5,42.05,44.65,39.73,51.97
0,0,4,4,53.22,49.36,51.03,47.29
0,1,4,1,48.19,38.73,38.37,32.71
0,0,2,2,41.9,42.72,43.44,50.24
0,1,NA,1,47.72,41.45,45.05,39.7
0,0,1,2,53.49,46.7,50.03,52.36
0,0,5,4,63.59,60.78,63.41,53.01
0,0,2,4,69.48,68.62,72.57,57.94
0,1,4,1,40.37,31.67,29.52,47.91
0,1,5,5,45.34,38.34,37.39,43.65
0,0,2,1,42.72,38.62,43.11,44.03
0,0,1,2,68.85,61.95,58.17,55.73
0,1,NA,2,48.14,43.43,41.84,38.61
0,0,1,2,42.29,39.76,36.2,33.77
0,0,2,4,39.17,49.21,51.79,53.68
0,0,2,4,60.5,71.87,67,70.58
0,0,4,4,65.1,65.06,63.84,58.65
0,0,5,1,64.64,63.6,63.56,70.58
0,0,2,3,50.11,48.75,48.5,48.15
0,0,4,4,72.04,73.51,75.63,70.58
0,1,1,2,53.99,53.82,56.7,50.18
0,0,NA,4,48.78,57.61,54.37,60.43
0,1,4,2,47.54,51.68,49.92,52.91
0,0,2,1,43.1,53.46,53.27,51.97
0,1,NA,2,63.69,63.32,62.72,62.73
0,0,1,1,39.27,44.42,45.14,36.24
0,1,1,2,52.87,47.27,50.32,50.24
0,0,4,2,53.19,55.35,54.25,45.56
0,1,4,5,46.44,63.64,57.22,60.15
0,0,3,3,49.34,50.06,53.62,46.3
0,1,NA,3,39.38,36.15,35.63,34.13
0,0,2,2,46.39,36.6,35.55,32.61
0,0,1,1,47.11,49.16,49.16,44.93
0,1,1,1,53.41,47.51,45.09,44.32
0,1,NA,5,NA,49.37,47.22,50.24
0,1,2,2,59.32,51.67,52.19,60.43
0,0,NA,1,39.36,40.4,44.17,41.7
0,0,4,4,63.15,63.65,66.26,53.76
0,0,NA,1,40.73,45.41,40.54,59.03
0,1,1,1,55.5,54.85,54.2,53.01
0,1,NA,NA,53.91,45.83,43.89,38.18
0,1,NA,NA,38.33,31.24,33.95,25.03
0,0,NA,NA,37.67,37.44,36.51,41.05
0,1,1,1,43.92,50.35,39.96,58.65
0,0,NA,3,48.26,32.46,34.98,30.57
0,1,2,2,66.62,53.92,54.05,52.91
0,0,4,2,53.22,40.09,47.73,38.05
0,1,2,5,53.22,53.84,57.35,52.36
0,0,NA,NA,49.09,57.83,59,52.85
0,1,NA,2,46.9,42.52,39.33,49.87
0,0,NA,NA,41.84,42.06,39.16,38.61
0,1,1,3,40.65,37.15,27.51,50.24
0,1,NA,3,42.98,39.68,45.06,45.76
0,0,4,2,44.16,58.7,55.87,56.34
0,1,4,4,64.6,56.09,55.55,48.27
0,1,2,2,51.71,47.63,47.5,49.25
0,0,3,2,38.33,39.77,42.21,44.63
0,0,1,3,31.99,33.78,33.73,39.57
0,0,2,2,38.96,49.69,53.23,50.24
0,0,5,4,57.87,52.5,54.15,41.03
0,1,2,2,44.47,43.32,41.79,50.24
0,1,1,2,51.61,52.86,51.78,47.91
0,1,2,2,62,59.32,56.5,54.19
0,1,2,2,50.02,52.66,46.21,50.86
0,1,2,1,39.32,35.72,32.55,50.24
0,1,2,2,38.02,45.31,44.27,55.73
0,0,2,2,38.49,56.18,55.78,56.42
0,1,NA,2,36.3,39.81,40.01,36.62
0,0,2,3,51.78,57.76,62.64,54.19
0,0,2,2,31.41,40.1,40.37,39.7
0,0,2,1,40.18,58.77,58.43,53.01
0,0,5,2,34.38,56.29,56.22,55.74
0,1,NA,2,44.08,39.05,39.11,39.71
0,1,3,2,34.21,43.32,45.11,28.8
0,0,1,1,32.2,38.6,39.09,32.42
0,1,2,1,37.25,51.75,45.38,49.93
0,1,4,3,42.98,49.24,40.72,52.91
0,0,3,2,33.33,41.05,46.12,35.65
0,0,2,2,36.96,43.53,47.76,45.09
0,0,5,NA,36.51,36.61,37.16,30.79
0,1,4,3,40.03,43.55,45.57,48.45
0,0,2,4,35.59,32.69,35.45,32.32
0,0,5,5,41.24,55.55,56.37,57.94
0,0,1,1,49.67,36.62,34.31,43.49
0,0,2,2,32.38,38.09,40.53,34.22
0,1,2,2,40.39,52.61,50.08,58.65
0,1,2,2,42.14,40.86,39.59,49.52
0,1,4,2,37.1,37.75,38.55,47.29
0,0,2,2,43.04,36.58,43.38,36.96
0,1,2,2,35.29,32.51,37.3,28.8
0,0,NA,3,34.14,45.55,44.63,45.76
0,1,2,2,32.54,30.74,35.34,25.03
0,1,3,2,47.58,50.18,50.93,44.03
0,1,2,2,47.43,52.48,48.95,46.71
0,1,2,2,59.29,47.82,41.99,64.67
0,0,2,2,44.32,51.16,53.29,47.91
0,1,4,3,51,39.78,36.97,45.76
0,0,2,2,67.8,67.72,72.51,52.85
0,0,5,1,47.2,46.44,45.29,47.11
0,1,NA,2,42.11,34.08,36.14,29.92
0,1,2,2,50.61,54.38,52.95,50.24
0,0,3,2,46.64,46.17,46.79,47.11
0,0,2,2,33.98,48.07,47.51,52.91
0,0,2,2,36.55,32.68,34.51,48
0,0,2,2,32.99,43.59,46.83,38.94
0,1,4,3,58.83,45.94,47.32,42.63
0,1,4,2,37.2,40.53,34.31,48.73
0,0,2,2,32.21,46.1,34.97,56.25
0,1,2,1,35.3,33.85,32.27,38.23
0,0,3,3,56.27,59.14,60.44,53.01
0,1,NA,2,55.11,57.21,48.26,63.14
0,1,2,1,37.09,39.23,44.91,39.57
0,1,1,2,48.67,51.97,58.34,50.24
0,0,3,5,41.89,33.21,40.55,24.75
0,0,3,3,43.81,42.3,35.97,34.26
0,0,2,2,50.35,50.71,55.57,49.69
0,1,1,1,44.32,42.62,43.02,41.71
0,0,1,1,33.91,42.23,41.95,45.4
0,0,5,NA,31.61,34.69,34.23,32.32
0,1,4,2,53.91,45.42,49.18,46.3
0,0,3,1,43.96,46.38,44.54,45.53
0,0,4,2,42.06,40.89,47.92,35.93
0,0,4,2,58.76,56.63,57.14,56.19
0,0,2,2,54.27,48.21,44.91,52.36
0,0,2,2,44.39,40.44,40.13,39.7
0,1,2,2,38.73,45.98,50.76,45.76
0,1,3,1,41.87,36.17,37.64,33.77
0,0,2,2,39.18,48.96,46.04,49.69
0,0,1,2,45.76,49.08,48.3,41.71
0,1,2,3,62.34,63.12,58.93,70.58
