BYS20A,BYS20B,BYS20C,BYS20D,BYS20E,BYS20F,BYS20G,BYS20H,BYS20I,BYS20J,BYS20K,BYS20L,BYS20M,BYS20N,BYS21A,BYS21B,BYS21C,BYS21D,BYS21E,BYSEX,BYRACE,BYSTLANG
3,2,2,2,3,3,3,3,3,3,3,2,3,3,3,3,4,3,4,2,7,0
3,2,4,2,3,3,4,2,3,3,2,3,3,3,2,3,2,2,2,1,7,1
3,2,4,2,4,3,2,2,3,4,3,1,1,1,3,1,1,3,2,1,7,1
3,3,4,2,3,3,2,3,3,3,1,3,3,3,3,3,2,3,3,2,7,0
2,2,3,2,2,1,2,3,3,3,2,2,2,2,3,2,2,3,2,1,3,1
2,1,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,7,0
3,2,3,2,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,2,7,1
3,3,3,2,3,4,4,4,3,3,2,2,4,4,3,2,3,2,3,1,3,1
3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,7,1
2,3,2,1,2,1,3,1,2,2,2,1,2,4,2,2,3,3,1,1,7,1
3,4,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,7,1
3,3,4,2,3,3,3,3,3,3,2,3,1,2,4,3,2,3,3,1,3,1
3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,7,1
3,3,3,2,3,2,3,4,3,4,2,2,3,3,2,3,1,3,2,1,7,1
2,2,4,2,3,2,3,3,3,3,3,3,2,3,4,3,3,2,3,2,7,1
3,3,2,1,2,2,2,3,2,3,2,1,2,3,3,3,3,2,3,2,6,1
1,2,1,2,2,2,2,4,4,3,2,1,2,3,2,1,2,2,1,2,3,1
3,4,4,2,3,3,3,3,4,4,3,3,3,2,3,2,2,2,3,2,7,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,1
3,4,3,3,3,3,3,4,4,4,3,3,4,4,4,3,4,3,4,1,7,1
3,1,3,2,3,4,2,4,4,3,3,2,3,2,3,3,4,3,3,2,2,1
2,2,3,2,2,2,2,2,3,2,3,3,4,3,3,2,2,4,3,1,3,1
3,3,3,1,3,2,2,2,3,3,2,2,4,1,3,3,2,1,2,2,3,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1
2,2,3,2,2,3,2,3,4,3,2,2,2,2,2,1,3,3,2,1,3,1
