bysex,bystlang,byincome,stu_exp,par_asp,mth_read,mth_test,rd_test,freelnch,stu_tch,putdownt,safe,disrupt,gangs,rac_fght,fair,strict,stolen,drugs,t_hurt,p_fight,hit,damaged,bullied,late,skipped
2,1,8,4,5,48.92,52.25,45.73,6,2,3,3,2,2,2,3,1,1,2,1,1,1,1,1,2,4
2,1,10,6,6,38.67,35.76,43.02,6,3,3,3,2,2,3,3,2,1,1,1,1,1,1,1,3,2
2,0,9,6,7,67.69,65.09,68.04,3,2,3,3,1,3,3,2,3,1,1,1,1,1,1,1,2,1
1,1,10,7,5,69.86,79.01,58.18,3,2,3,4,3,2,2,2,2,2,2,2,1,2,2,2,2,1
2,0,10,7,7,55.47,58.48,51.77,6,2,3,3,1,3,2,1,2,1,1,1,1,1,1,1,2,1
2,1,10,NA,6,49.05,50.52,47.7,5,2,3,2,3,3,2,NA,2,1,1,1,1,1,1,1,5,3
2,1,11,5,5,49.24,52.73,45.86,2,2,4,3,3,3,3,2,2,1,1,1,1,1,1,1,2,2
1,1,3,4,6,48.35,51.3,45.61,NA,3,3,4,1,1,4,4,1,2,3,1,1,1,1,1,5,2
1,1,10,2,5,34.95,34.47,37.35,3,2,3,1,2,NA,3,4,2,2,3,2,1,2,1,1,5,5
2,0,2,5,7,44.81,46.65,43.64,3,2,3,3,2,3,3,2,2,1,1,1,1,1,1,1,2,1
2,1,13,6,5,43.72,48.92,39.32,1,2,3,3,2,3,3,2,2,1,3,2,1,3,1,3,4,3
2,1,13,7,7,59.88,59.71,58.79,1,2,4,NA,2,3,3,2,3,1,1,1,1,1,1,1,3,1
1,1,12,5,7,49.22,52.08,46.47,2,2,3,3,3,1,2,2,3,2,2,1,1,1,1,1,4,1
1,1,10,5,6,49.92,54.62,45.24,1,1,4,3,4,2,4,3,2,2,1,2,2,1,1,1,3,NA
2,1,7,5,5,43.72,48.8,39.45,3,2,4,3,1,4,2,2,2,1,1,1,1,1,1,1,1,1
2,1,10,6,5,56.85,51.57,61.26,3,2,4,4,3,2,2,1,2,1,1,1,1,1,1,1,2,1
1,1,12,5,5,56.53,60.72,51.52,3,2,3,4,3,3,2,3,2,2,1,1,1,1,1,1,1,2
1,1,9,6,3,47.76,51.06,44.75,3,2,4,3,2,3,3,2,2,1,1,1,2,1,1,1,5,2
1,1,10,3,6,53.7,56.77,50.17,3,3,3,3,3,4,1,4,2,2,2,3,3,3,1,2,3,1
1,1,9,6,5,57.11,55.14,58.18,4,2,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,1
1,1,9,2,2,36.58,34.81,40.06,NA,2,3,3,3,3,4,3,2,2,1,1,1,2,1,1,2,2
1,1,9,5,7,57.15,58.17,55.22,1,2,4,4,2,2,3,3,2,2,1,1,1,1,1,1,5,1
1,1,13,6,6,55.02,63.67,45.73,4,2,3,3,3,3,3,2,2,2,1,2,1,1,1,1,2,1
2,1,10,5,5,55.33,60.8,49.18,4,2,3,4,3,3,3,2,2,1,1,2,1,1,1,2,1,1
1,1,5,6,6,62.25,52.33,70.62,4,2,3,3,2,4,4,1,2,1,1,1,1,1,1,1,1,1
