STU_ID,SCH_ID,BYSEX,BYRACE,BYSTLANG,BYPARACE,BYPARLNG,BYFCOMP,BYPARED,BYMOTHED,BYFATHED,BYINCOME,BYSTEXP,BYPARASP,BYTXCSTD,BYTXMSTD,BYTXRSTD,BYSCTRL,BYURBAN,BYREGION,BY10FLP,BYS20A,BYS20B,BYS20C,BYS20D,BYS20E,BYS20F,BYS20G,BYS20H,BYS20I,BYS20J,BYS20K,BYS20L,BYS20M,BYS20N,BYS21A,BYS21B,BYS21C,BYS21D,BYS21E,BYS22A,BYS22B,BYS22C,BYS22D,BYS22E,BYS22F,BYS22G,BYS22H,BYS24A,BYS24B,BYS24C,BYS24D,BYS24E,BYS24F,BYS24G,BYS27A,BYS27B,BYS27C,BYS27D,BYS27E,BYS27F,BYS27G,BYS27H,BYS27I,BYS28,BYS34A,BYS34B,BYS35A,BYS35B,BYS36A,BYS36B,BYS37,BYS38A,BYS38B,BYS38C,BYS42,BYS43,BYS44A,BYS44B,BYS44C,BYS44D,BYS44E,BYS44H,BYS45A,BYS45B,BYS45C,BYS47A,BYS47B,BYS48A,BYS48B,BYS85A,BYS85B,BYS85C,BYS85D,BYS85F,BYS85G,BYS86A,BYS86B,BYS86C,BYS86D,BYS86I,BYS87A,BYS87B,BYS87C,BYS87D,BYS87E,BYS87F,BYS88A,BYS88B,BYS89A,BYS89B,BYS89C,BYS89D,BYS89E,BYS89F,BYS89G,BYS89H,BYS89I,BYS89J,BYS89K,BYS89L,BYS89M,BYS89N,BYS89O,BYS89P,BYS89Q,BYS89R,BYS89S,BYS89T,BYS89U,BYS89V,BYS90A,BYS90B,BYS90C,BYS90D,BYS90E,BYS90F,BYS90G,BYS90H,BYS90J,BYS90K,BYS90L,BYS90M,BYS90Q,BYS91
317219,3172,2,7,1,7,1,1,6,6,5,11,5,5,55.27,54.9,54.97,1,2,3,1,2,1,1,2,1,2,2,3,3,4,3,4,4,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,NA,1,1,1,3,1,1,3,1,1,1,2,0,5,5,0,0,2,4,2,1,1,0,5,4,4,1,3,4,1,4,3,2,4,2,5,4,3,3,3,3,2,4,2,2,2,3,2,2,3,4,2,3,4,2,2,2,1,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,2,3,3,2,3,1
318214,3182,2,3,0,NA,NA,1,7,3,7,11,2,6,34.06,37.97,32.18,1,2,3,NA,3,1,1,2,2,2,2,3,2,2,3,2,3,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,3,4,2,3,1,2,1,4,4,4,4,2,1,4,2,1,3,4,1,1,2,2,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
319203,3192,1,7,1,7,1,1,6,6,6,10,5,6,56.93,57.52,55.47,1,2,3,5,2,2,2,1,2,1,2,3,3,3,3,2,2,1,2,3,2,3,2,1,1,2,1,1,1,1,1,2,2,3,NA,1,1,1,2,3,2,2,1,3,2,2,1,3,1,1,1,1,1,2,2,2,2,2,21,2,3,3,1,1,4,3,5,4,4,5,2,1,6,3,3,4,3,3,4,2,3,2,3,1,3,2,2,2,2,2,2,3,2,2,3,3,4,3,3,3,4,2,3,2,3,3,3,1,2,2,2,2,2,2,2,3,2,3,2,3,1,3,2,1,3,2,2,1
319220,3192,1,5,1,7,1,5,4,3,4,10,5,6,53.5,51.22,55.34,1,2,3,5,2,1,NA,3,1,1,1,4,4,3,4,3,3,3,1,2,1,2,2,1,1,1,1,NA,1,1,1,2,2,3,NA,1,1,1,1,1,4,1,1,1,1,1,1,3,1,1,0,1,0,1,4,2,1,4,3,0,2,2,1,1,4,3,5,4,4,5,3,6,5,4,4,4,4,1,4,3,3,3,3,3,2,4,4,4,2,3,1,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,2,3,3,3,3,3,3,3,3,3,3,2
321106,3211,1,7,1,7,1,1,6,3,6,12,6,5,58.42,61.66,54.11,1,3,3,2,2,2,2,2,3,3,2,2,3,3,3,3,3,3,2,3,3,2,3,2,1,3,2,2,1,2,2,5,2,4,3,1,1,1,3,3,3,2,3,2,3,3,2,2,0,1,0,1,0,0,3,2,2,2,10,0,3,2,2,3,4,1,5,3,2,5,3,3,6,3,2,3,4,4,4,2,2,2,3,1,3,3,3,3,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,NA,1
322121,3221,2,5,0,5,2,5,6,6,1,5,7,5,35.04,34.26,37.72,1,3,3,1,2,2,3,3,3,2,2,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,3,1,3,3,1,2,2,3,0,3,0,1,1,2,4,1,1,1,0,1,2,3,3,2,2,1,4,4,4,NA,NA,3,1,3,3,3,2,3,3,2,2,2,2,1,2,2,3,2,2,2,2,3,3,3,3,4,3,3,4,4,3,4,3,3,3,4,4,2,4,3,4,4,3,4,3,3,2,3,2,3,2,3,3,3,2,2,2,1
322233,3222,2,5,1,5,2,2,4,4,1,6,5,7,48.84,39.04,58.79,1,3,3,NA,3,2,2,2,2,2,2,3,4,2,3,3,3,3,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,3,3,2,1,4,4,3,3,2,1,1,2,1,0,1,1,4,1,1,1,0,20,3,4,1,1,2,1,5,3,5,5,3,0,0,1,1,4,1,1,1,2,1,2,3,1,2,1,3,1,3,4,2,3,2,2,4,3,4,4,3,3,4,4,4,2,4,4,4,3,4,2,4,4,2,4,3,2,1,3,1,3,2,3,1,2,2,2,2,1
323210,3232,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,42.95,45.39,41.41,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324105,3241,1,7,1,7,1,1,6,6,3,9,6,5,53.17,57.25,48.69,1,3,3,5,2,2,1,2,2,2,1,4,3,3,2,3,3,3,1,2,2,2,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,3,3,2,1,1,1,1,1,1,2,4,15,1,1,1,0,4,1,1,2,20,2,4,3,1,3,4,1,3,2,4,4,3,5,6,4,4,2,4,3,4,3,3,3,2,2,3,3,3,2,2,2,3,3,2,1,3,2,3,3,3,2,3,2,3,2,3,4,4,4,3,2,2,2,2,3,3,2,3,3,3,3,2,3,2,2,3,2,2,1
324109,3241,1,7,1,7,1,5,5,5,2,8,7,6,68.6,62.24,72.6,1,3,3,5,2,2,1,2,2,2,2,4,3,4,4,3,3,3,2,2,1,2,2,1,1,1,1,1,1,1,1,3,1,3,2,1,1,1,2,2,3,1,2,3,1,2,2,2,5,15,NA,NA,NA,NA,4,1,1,2,0,5,3,1,1,1,4,1,5,2,3,5,3,2,4,4,3,4,4,4,3,2,2,3,2,2,2,2,2,2,1,2,1,4,4,4,3,1,4,3,3,1,4,3,4,4,4,4,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
