     1.000 0 0 * 1 0      0.004      0.551      0.000      0.445    2
     1.000 0 * 1 1 0      0.116      0.874      0.000      0.010    2
     1.000 * 0 1 0 0      0.001      0.959      0.000      0.040    2
     1.000 0 0 1 * 0      0.003      0.942      0.000      0.055    2
     1.000 1 1 * * 0      0.221      0.779      0.000      0.000    2
     1.000 1 0 * * 0      0.005      0.545      0.000      0.450    2
     1.000 1 * * 0 0      0.009      0.603      0.000      0.387    2
     1.000 1 * 1 * 0      0.148      0.843      0.000      0.010    2
     1.000 0 1 * * *      0.347      0.434      0.218      0.000    2
     1.000 * * 1 * 0      0.104      0.877      0.000      0.019    2
    91.000 1 0 0 0 1      0.003      0.000      0.937      0.060    3
    88.000 1 0 1 1 1      0.337      0.000      0.663      0.000    3
    76.000 1 0 1 0 1      0.048      0.000      0.951      0.001    3
    70.000 1 0 0 1 1      0.031      0.000      0.964      0.006    3
    53.000 0 0 0 0 1      0.001      0.000      0.763      0.236    3
    41.000 1 1 0 0 1      0.121      0.000      0.879      0.000    3
    36.000 0 0 1 0 1      0.014      0.000      0.982      0.004    3
    35.000 0 0 1 1 1      0.122      0.000      0.877      0.000    3
    34.000 0 0 0 1 1      0.008      0.000      0.965      0.026    3
    19.000 0 1 1 0 1      0.376      0.000      0.624      0.000    3
    18.000 0 1 0 0 1      0.036      0.000      0.964      0.000    3
    14.000 0 1 0 1 1      0.275      0.000      0.725      0.000    3
     4.000 1 * 1 0 1      0.397      0.000      0.602      0.000    3
     3.000 1 0 1 * 1      0.201      0.000      0.798      0.000    3
     3.000 1 1 0 * 1      0.407      0.000      0.593      0.000    3
     3.000 0 0 0 * 1      0.004      0.000      0.841      0.156    3
     3.000 1 * 0 1 1      0.292      0.000      0.705      0.003    3
     3.000 1 0 * 0 1      0.023      0.000      0.943      0.033    3
     3.000 1 * 0 0 1      0.038      0.000      0.920      0.042    3
     1.000 0 * 0 1 1      0.100      0.000      0.882      0.017    3
     1.000 * * * 0 1      0.191      0.000      0.766      0.043    3
     1.000 0 1 * 0 1      0.229      0.000      0.771      0.000    3
     1.000 1 0 * 1 1      0.200      0.000      0.797      0.002    3
     1.000 0 * 0 0 1      0.009      0.000      0.811      0.180    3
     1.000 1 * 0 1 *      0.216      0.219      0.485      0.080    3
     1.000 0 * * 0 1      0.074      0.000      0.826      0.100    3
   558.000 0 0 0 0 0      0.000      0.117      0.000      0.883    4
   313.000 1 0 0 0 0      0.000      0.307      0.000      0.693    4
    53.000 0 0 0 1 0      0.000      0.353      0.000      0.647    4
    11.000 0 0 * 0 0      0.000      0.231      0.000      0.769    4
     9.000 0 * 0 0 0      0.000      0.170      0.000      0.829    4
     5.000 0 0 0 * 0      0.000      0.138      0.000      0.862    4
     5.000 1 * 0 0 0      0.001      0.406      0.000      0.593    4
     5.000 * 0 0 0 0      0.000      0.186      0.000      0.814    4
     3.000 0 * * * *      0.080      0.266      0.167      0.487    4
     3.000 1 0 0 * 0      0.000      0.347      0.000      0.652    4
     1.000 0 0 0 0 *      0.000      0.107      0.067      0.826    4
     1.000 0 * * 0 0      0.001      0.318      0.000      0.681    4
     1.000 * 0 0 0 *      0.000      0.159      0.125      0.716    4
     1.000 * * 0 0 0      0.000      0.261      0.000      0.739    4
     1.000 0 * * * 0      0.007      0.357      0.000      0.636    4
     1.000 0 * 0 1 0      0.006      0.455      0.000      0.539    4
     1.000 1 0 0 * *      0.005      0.239      0.297      0.460    4
