id,population,source,level,d_middle,d_high,districtname,districtcode,schoolname,schoolcode,positioncode,grade,gender,d_female,race,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20,i21,i22,i23,i24,i25,i26,i27,i28,i29,i30,i31,i32,i33,i34,i35,i36,i37,i38,i39,i40,punitive_1,positive_1,sel_1,punitive_2,positive_2,sel_2,punitive_3,positive_3,sel_3,punitive_4,positive_4,sel_4,punitive_5,positive_5,sel_5,i9rev,i14rev,i24rev,i27rev,ii1rev,ii4rev,ii7rev,ii10rev,ii13rev
22R_1zCxKC8lqoVW3v3,2,2,1,0,0,Christina,33,Pulaski (Casimir) Elementary School,358,2,15,2,0,5,4,4,4,4,4,4,4,4,3,4,3,3,3,3,4,3,4,4,3,4,3,4,4,2,3,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,2,3,4,2,3,4,2,3,4,2,4,4,1,4,4,2,2,3,2,3,3,3,3,4
22R_6MvUTD6MFdwmcpT,2,2,1,0,0,Brandywine,31,Lancashire Elementary School,128,1,4,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,1,4,4,1,4,4,1,4,4,1,4,4,3,2,3,3,3,4,4,4,4
22R_TtkUNwSW4uRrwcN,1,2,1,0,0,Cape Henlopen,17,Shields (Richard A.) Elementary School,712,1,4,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,4,4,2,4,4,4,4,4,4,4,3,4,4,4,3,4,1,4,4,1,4,4,2,4,4,2,4,4,1,4,4,3,2,4,3,4,4,3,3,4
22R_2CdHTDWmbhE4fxl,1,2,1,0,0,Appoquinimink,29,Loss (Olive B.) Elementary School,20,1,15,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,2,4,4,1,4,4,1,4,4,1,3,4,3,2,4,3,4,3,4,4,4
22R_3efSMzghnqAnFLA,2,2,1,0,0,Cape Henlopen,17,Rehoboth Elementary School,722,1,15,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,3,4,4,4,4,3,4,4,4,4,2,3,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,1,4,4,2,4,4,1,4,4,3,2,3,3,4,4,4,3,4
22R_3I4ENLXsnrTxBsJ,2,2,1,0,0,Red Clay,32,Forest Oak Elementary School,240,1,3,1,1,7,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,2,4,4,2,4,4,2,4,4,3,3,3,3,3,3,3,3,3
22R_2wHaR9z0Rr73HZx,2,2,1,0,0,Seaford,23,Seaford Central Elementary School,759,3,15,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,2,4,4,2,4,4,1,4,4,3,3,3,3,3,3,3,3,4
22R_us0mOIRUeMVVZ8B,2,2,1,0,0,Cape Henlopen,17,Milton Elementary School,721,3,4,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,1,4,4,4,4,4,1,4,4,3,3,3,3,3,3,4,1,4
22R_3PG3uZsx7jiizgg,2,2,1,0,0,Cape Henlopen,17,Shields (Richard A.) Elementary School,712,3,15,2,0,2,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,1,4,4,2,4,4,1,4,4,3,3,3,3,3,3,4,3,4
22R_24pUCTItEngp0AH,2,2,1,0,0,Cape Henlopen,17,Milton Elementary School,721,1,4,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,3,2,4,4,2,4,4,2,4,4,3,3,3,3,3,3,3,3,3
22R_1jeTwo4jQ6uIXTZ,2,2,1,0,0,Brandywine,31,Hanby Elementary School,110,1,14,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,3,4,3,4,3,4,3,4,1,4,4,2,4,4,1,4,4,2,4,4,1,4,4,3,3,3,3,4,3,4,3,4
22R_2VCOxKWkBlJgRM4,1,2,1,0,0,Capital,13,Booker T. Washington Elementary School,636,4,1,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,1,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,2,4,4,2,4,4,1,4,4,1,3,4,3,3,4,3,4,3,3,4,4
22R_2dEByl8wsB5W3ZW,1,2,1,0,0,Milford,18,Ross (Lulu M.) Elementary School,672,1,1,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,1,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,3,3,4,3,4,4,4,4,4
22R_1GHoBLJ8CFh4T9L,1,2,1,0,0,Colonial,34,Eisenberg (Harry O.) Elementary School,456,4,15,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,1,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,3,3,4,3,4,4,4,4,4
22R_1lzqmBSTGwEKazp,1,2,1,0,0,Christina,33,West Park Place Elementary School,332,1,2,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,1,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1,3,4,1,4,4,1,3,4,1,4,4,3,3,4,3,4,4,4,4,4
22R_1GCSzcqCInPGYIz,1,2,1,0,0,Brandywine,31,Maple Lane Elementary School,132,2,15,2,0,3,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,1,4,4,2,4,4,4,4,3,4,4,4,4,4,4,3,4,1,4,4,1,3,4,1,4,4,1,4,4,1,4,4,3,3,4,3,4,4,4,4,4
22R_scAff2eYz8WjHwt,1,2,1,0,0,Cape Henlopen,17,Rehoboth Elementary School,722,1,4,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,3,3,4,4,4,4,4,4,4
22R_3Ej5vMR8XuNNzkh,1,2,1,0,0,Seaford,23,Seaford Central Elementary School,759,1,3,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,4,4,3,3,3,4,4,4,4,4,4,1,4,4,1,4,4,2,4,4,1,4,4,1,4,4,3,3,4,4,4,4,3,4,4
22R_AnVTnVkCpjRcP73,2,2,1,0,0,Cape Henlopen,17,Milton Elementary School,721,1,2,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,3,4,4,2,4,4,2,4,3,4,4,3,3,3,3,3,3,3,3,3,2,3,3,2,4,3,2,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3
22R_865D0AJPQEuN1eh,2,2,1,0,0,Red Clay,32,Heritage Elementary School,242,1,1,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,3,4,4,4,2,4,4,2,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,3,2,3,3,2,4,3,2,4,3,2,3,3,3,3,3,3,4,3,3,3,3
22R_3LZ0EJC1W4vceUB,2,2,1,0,0,Lake Forest,15,Lake Forest South Elementary School,662,1,3,1,1,7,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,3,4,4,4,4,3,4,4,2,4,4,2,4,3,3,3,3,2,3,2,4,2,4,3,4,2,3,3,1,3,3,2,4,3,1,3,3,2,3,3,3,3,3,3,3,4,3,4,3
22R_25ZmBAVFpJ3A8rz,2,2,1,0,0,Christina,33,Oberle (William) Elementary School,327,1,15,1,1,7,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,3,4,3,4,4,4,4,4,2,4,3,2,3,3,3,3,3,4,4,3,3,3,3,3,4,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,2
22R_Q69MyL4kDccMVVv,1,2,1,0,0,Red Clay,32,Richardson Park Elementary School,254,3,15,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,3,3,4,4,4,3,4,4,1,4,4,2,4,3,3,3,3,3,3,3,4,3,3,3,4,2,4,4,2,4,3,2,4,3,2,4,3,2,3,3,3,3,4,3,3,3,3,3,3
22R_2PjorAW3vNl7pYi,1,2,1,0,0,Red Clay,32,Cooke (William F. Jr.) Elementary School,271,2,15,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,2,3,3,4,3,4,4,3,4,4,1,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,3,2,4,4,1,4,4,2,4,4,1,4,4,3,3,4,3,4,3,4,3,4
22R_2fJA1diWBpP23R4,2,2,1,0,0,Christina,33,Brookside Elementary School,310,1,1,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,1,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,4,4,2,4,4,1,4,4,1,4,4,3,4,3,3,4,4,3,4,4
