AB39M,AB39T,AB39U,AB39W,AB39X,GA33A,GA33H,GA33I,GA33K,GA33L,ENGINEER,MATHG7,MATHG8,MATHG10,MATHG11,MATHG12,FEMALE,KA9B,KA9C,KA9D,KA9G,KA9K,CPROB11,CPROB12,CPROB13,CPROB14,CMOD1,CASENUM
1,0,0,9999,0,1,1,1,0,0,9999,49.63,56.22,64,67.98,67.57,0,1,1,1,1,1,0,0,0.347,0.652,4,1142
0,1,1,0,0,0,0,0,0,0,9999,38.27,32.78,39.55,9999,9999,0,9999,9999,9999,9999,9999,0.013,0,0.987,0,3,1144
0,0,0,0,0,1,0,0,0,0,9999,62.61,9999,9999,86.09,85.13,0,0,1,0,0,0,0,0,0.117,0.883,4,1146
1,0,0,1,1,1,1,1,1,1,0,52.36,9999,9999,69.72,74.08,1,0,1,1,0,0,0.031,0.964,0,0.006,2,1149
1,1,0,0,0,1,1,1,1,1,9999,52.6,52.82,56.18,9999,9999,1,9999,9999,9999,9999,9999,0.006,0,0.994,0,3,1150
9999,0,0,0,0,9999,9999,9999,9999,9999,0,43.99,9999,9999,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.186,0.814,4,1151
1,1,1,1,1,9999,9999,9999,9999,9999,0,35.54,9999,9999,9999,9999,0,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,1152
1,1,0,1,1,0,0,0,0,0,0,37.45,40.95,48.21,50.17,9999,1,9999,9999,9999,9999,9999,0.58,0.42,0,0,1,1153
0,0,0,1,0,0,0,0,0,0,0,51.79,46.72,64.07,63.86,68.04,0,1,1,1,1,1,0,0,0.353,0.647,4,1155
1,1,1,1,1,1,1,1,1,1,0,60.77,65.36,80.77,77.17,9999,1,0,0,0,0,0,0.957,0.043,0,0,1,1158
1,1,1,1,1,9999,9999,9999,9999,9999,0,32.99,43.32,9999,45.09,9999,0,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,1159
0,0,0,1,0,1,0,0,1,1,0,63,62.77,72.79,76.84,9999,0,9999,9999,9999,9999,9999,0,0,0.353,0.647,4,1163
0,0,0,0,0,0,0,0,1,0,0,33.52,42.54,73.11,9999,9999,1,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,1165
1,1,1,1,0,0,0,0,0,0,0,63.92,9999,81.65,9999,9999,0,1,0,1,1,1,0.65,0,0.35,0,1,1167
1,0,1,0,0,9999,9999,9999,9999,9999,9999,42.48,9999,9999,9999,9999,0,1,1,1,1,1,0.002,0,0.977,0.021,3,1168
0,0,0,0,0,9999,9999,9999,9999,9999,9999,59.22,58.02,9999,9999,9999,1,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,1169
1,1,0,1,1,0,0,0,0,0,0,30.94,9999,35.27,9999,9999,1,9999,9999,9999,9999,9999,0.58,0.42,0,0,1,1170
0,1,1,0,1,0,0,0,1,0,0,41.33,41.72,43.27,44.85,42.82,1,1,1,1,1,1,0.376,0.624,0,0,2,1172
1,1,1,1,1,1,1,1,1,1,0,54.6,59.71,67.17,66.66,66.01,0,1,1,9999,1,1,0.957,0.043,0,0,1,1173
1,0,0,0,0,9999,9999,9999,9999,9999,0,40.73,9999,34.51,33.13,9999,0,9999,9999,9999,9999,9999,0,0,0.307,0.693,4,1174
0,1,1,1,1,1,1,0,9999,1,0,57.31,58.48,65.49,9999,74.98,1,0,0,1,1,0,0.859,0.141,0,0,1,1175
0,1,0,0,0,9999,9999,9999,9999,9999,0,44.44,9999,9999,9999,9999,0,9999,9999,9999,9999,9999,0.001,0,0.999,0,3,1176
0,0,0,0,0,9999,9999,9999,9999,9999,9999,44.29,52.42,9999,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,1177
1,1,1,1,1,1,1,0,0,1,9999,60.45,66.15,78.69,78.25,79.82,0,1,0,1,1,1,0.957,0.043,0,0,1,1178
1,1,0,0,0,1,1,0,1,1,9999,45.54,51.03,55.97,9999,9999,0,1,1,1,1,0,0.006,0,0.994,0,3,1181
1,1,0,1,1,1,0,0,1,1,9999,37.06,50.8,51.52,48.85,51.06,1,1,1,1,1,1,0.58,0.42,0,0,1,1183
