10058	199410	0.5511	2	2	4	4	54.9576	45.5784	3	3	11	6	1	1	4	4	4	3	3	2	3	3	3	3	0	2	2	3	3	2	3	2	1	3	2	2	1	0	2	1	1	3	1	2	3	2	1
10059	199400	.	1	.	.	.	.	55.4241	3.5	3.5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
10060	199409	-0.0058	1	5	1	.	55.0993	53.4362	2.5	2.5	10	10	4	2	3	3	3	4	3	4	4	4	3	2	1	4	1	4	4	4	4	4	4	4	4	4	4	1	1	3	2	2	3	1	4	1	3
10061	199505	1.165	1	2	.	.	64.4295	.	3	3	11	.	3	3	2	3	3	3	3	3	3	3	3	3	1	3	2	3	3	3	3	3	3	3	3	3	4	0	3	2	2	3	2	2	2	2	2
10062	199507	-0.7022	1	6	2	2	48.5401	56.7695	3.5	2.5	10	3	3	3	3	3	3	3	3	3	3	3	3	3	0	3	2	2	3	2	3	3	3	3	3	3	3	0	2	2	2	3	2	1	1	1	1
10063	199505	-0.6763	1	5	.	.	49.8739	32.2622	2.5	2	6	.	1	3	3	3	3	2	2	2	2	2	4	2	0	2	4	3	4	4	3	3	3	4	4	3	4	0	2	2	1	3	1	3	4	2	2
10064	199510	-0.1112	2	8	2	2	50.3536	55.6154	3.5	3.5	11	6	4	4	3	4	3	3	3	4	4	4	4	3	1	2	2	3	3	3	3	3	3	3	3	3	3	0	2	1	2	3	1	2	1	1	1
10065	199409	-0.5381	2	8	2	2	45.847	48.3718	3	1.5	6	10	1	2	3	3	3	2	3	2	2	2	2	1	0	2	2	2	3	2	2	2	2	3	2	2	2	0	2	2	3	3	1	2	1	1	2
10066	199406	-0.3694	1	8	2	2	43.6624	50.9818	2	1.5	2	6	2	2	.	.	.	2	2	3	2	3	3	2	0	1	1	2	3	3	2	3	3	2	2	2	2	0	2	2	2	2	3	3	3	2	2
10067	199501	-1.7526	1	2	1	.	65.7365	65.9677	3.5	3	8	6	3	3	3	3	3	3	3	3	3	2	3	2	0	2	2	3	3	3	3	3	3	3	1	3	1	0	2	2	2	3	2	2	2	2	3
10068	199407	-0.0872	2	8	.	.	50.2947	47.3476	2.5	2.5	10	.	3	3	3	4	3	4	3	3	4	3	4	3	0	1	1	2	3	3	3	2	3	3	2	4	2	0	2	2	2	3	2	2	1	1	1
10069	199412	1.6587	1	2	7	4	54.8354	68.6119	3.5	3.5	8	10	3	3	3	4	3	2	2	3	2	3	3	3	0	4	3	2	4	4	3	4	3	3	4	4	3	1	1	2	2	3	1	2	1	2	2
